Team,Player,Event,Mins,Secs,X,Y,X2,Y2
GEVP,12,Pase,44,36,71,21,84,95
GEVP,6,Pase,44,39,80,96,68,71
GEVP,8,Pase,44,40,70,71,55,8
GEVP,12,sub_out,44,40,99,16,-,-
GEVP,10,sub_in,44,43,99,14,-,-
GEVP,2,Pase,44,41,54,7,69,18
GEVP,10,Pase,44,44,70,22,50,22
GEVP,8,Pase,44,46,49,22,9,28
SITAS,15,Foul,44,50,9,30,-,-
GEVP,11,Gol,44,50,9,30,-,-
SITAS,7,Pase,44,53,9,59,20,84
SITAS,9,Pase,44,55,21,91,24,55
SITAS,7,Pase,44,57,26,59,37,11
SITAS,2,Pase,44,58,36,10,60,47
SITAS,11,Pase,45,0,56,46,87,24
SITAS,10,Gol,45,2,86,23,-,-
GEVP,10,Pase,45,4,86,42,84,87
GEVP,5,Pase,45,5,86,93,57,94
GEVP,8,Pase,45,8,58,94,35,93
GEVP,11,Pase,45,11,36,92,66,74
GEVP,10,Pase,45,12,67,77,57,6
GEVP,6,Pase,45,15,59,9,40,8
GEVP,8,Pase,45,16,39,8,14,22
SITAS,9,Foul,45,21,14,22,-,-
GEVP,8,Pase,45,25,15,21,33,21
GEVP,2,Pase,45,27,31,15,27,42
GEVP,11,Gol,45,29,27,37,-,-
SITAS,15,Pase,45,32,11,50,17,85
SITAS,7,Pase,45,34,18,85,58,91
GEVP,6,Foul,45,38,78,52,-,-
SITAS,10,Pase,45,44,76,49,89,61
SITAS,11,Perdida,45,44,89,62,-,-
GEVP,6,Pase,45,47,79,52,68,17
GEVP,5,Pase,45,49,68,15,70,46
GEVP,10,Pase,45,50,70,44,63,11
GEVP,5,Pase,45,53,62,12,42,80
GEVP,6,Pase,45,54,42,82,13,59
GEVP,2,Pase,45,58,8,74,24,92
GEVP,8,Pase,46,0,24,94,10,94
GEVP,6,Pase,46,1,10,96,42,75
GEVP,11,Pase,46,3,44,78,41,10
GEVP,10,Pase,46,4,41,10,14,8
GEVP,8,Pase,46,6,14,7,9,37
GEVP,2,Pase,46,7,9,39,27,15
