Team,Player,Event,Mins,Secs,X,Y,X2,Y2
SITAS,7,Pase,53,15,86,48,66,19
SITAS,15,Pase,53,16,67,19,55,7
SITAS,9,Pase,53,19,54,6,32,5
SITAS,10,Pase,53,21,30,4,16,4
SITAS,11,Pase,53,24,16,6,46,31
SITAS,7,Pase,53,25,46,31,27,87
SITAS,10,Pase,53,26,27,86,13,76
SITAS,11,Perdida,53,29,12,77,-,-
GEVP,12,Pase,53,30,11,79,27,27
GEVP,5,Pase,53,31,27,27,47,11
GEVP,8,Gol,53,35,53,13,-,-
SITAS,9,Pase,53,40,84,39,70,6
SITAS,4,Pase,53,41,69,5,42,10
SITAS,11,Pase,53,43,41,12,19,11
SITAS,15,Pase,53,45,19,10,33,11
SITAS,11,Errado,53,47,33,13,-,-
SITAS,7,Foul,53,56,16,71,-,-
GEVP,9,Pase,53,56,15,82,27,42
GEVP,12,Pase,53,59,31,43,32,79
GEVP,9,Perdida,54,2,32,80,-,-
SITAS,15,Pase,54,4,32,80,35,48
SITAS,11,Pase,54,6,35,49,49,82
SITAS,10,Gol,54,8,47,79,-,-
GEVP,9,Pase,54,11,15,56,29,76
GEVP,5,Pase,54,13,29,75,57,12
GEVP,12,Pase,54,15,57,12,83,40
GEVP,11,Gol,54,17,85,40,-,-
SITAS,9,Pase,54,21,85,39,73,73
SITAS,15,Pase,54,25,72,73,63,19
SITAS,9,Perdida,54,25,62,22,-,-
GEVP,5,Pase,54,33,60,23,55,57
GEVP,8,Pase,54,34,55,57,57,18
GEVP,5,Pase,54,37,57,19,67,84
GEVP,8,Pase,54,40,68,85,76,71
GEVP,11,Errado,54,40,77,81,-,-
SITAS,11,reb_def,54,42,81,47,-,-
SITAS,11,Pase,54,43,82,43,77,67
SITAS,15,Pase,54,44,77,70,66,18
SITAS,9,Pase,54,46,66,18,46,11
SITAS,10,Pase,54,48,45,11,62,16
SITAS,9,Pase,54,50,61,18,55,40
SITAS,15,Pase,54,51,55,41,53,69
SITAS,7,Pase,54,53,52,71,36,44
GEVP,2,Foul,55,2,31,43,-,-
SITAS,11,Errado,55,4,30,42,-,-
GEVP,12,reb_def,55,7,13,46,-,-
GEVP,12,Pase,55,9,8,78,25,86
GEVP,9,Pase,55,11,26,87,48,96
GEVP,8,Pase,55,14,48,96,33,80
GEVP,9,Pase,55,15,32,81,46,67
GEVP,2,Pase,55,18,45,68,57,11
