Team,Player,Event,Mins,Secs,X,Y,X2,Y2,id
SITAS,10,Gol,45,2,86,23,-,-,475
GEVP,10,Pase,45,4,86,42,84,87,476
GEVP,5,Pase,45,5,86,93,57,94,477
GEVP,8,Pase,45,8,58,94,35,93,478
GEVP,11,Pase,45,11,36,92,66,74,479
GEVP,10,Pase,45,12,67,77,57,6,480
GEVP,6,Pase,45,15,59,9,40,8,481
GEVP,8,Pase,45,16,39,8,14,22,482
SITAS,9,Foul,45,21,14,22,-,-,483
GEVP,8,Pase,45,25,15,21,33,21,484
GEVP,2,Pase,45,27,31,15,27,42,485
GEVP,11,Gol,45,29,27,37,-,-,486
SITAS,15,Pase,45,32,11,50,17,85,487
SITAS,7,Pase,45,34,18,85,58,91,488
GEVP,6,Foul,45,38,78,52,-,-,489
SITAS,10,Pase,45,44,76,49,89,61,490
SITAS,11,Perdida,45,44,89,62,-,-,491
GEVP,6,Pase,45,47,79,52,68,17,492
GEVP,5,Pase,45,49,68,15,70,46,493
GEVP,10,Pase,45,50,70,44,63,11,494
GEVP,5,Pase,45,53,62,12,42,80,495
GEVP,6,Pase,45,54,42,82,13,59,496
GEVP,2,Pase,45,58,8,74,24,92,497
GEVP,8,Pase,46,0,24,94,10,94,498
GEVP,6,Pase,46,1,10,96,42,75,499
GEVP,11,Pase,46,3,44,78,41,10,500
GEVP,10,Pase,46,4,41,10,14,8,501
GEVP,8,Pase,46,6,14,7,9,37,502
GEVP,2,Pase,46,7,9,39,27,15,503
GEVP,6,Errado,46,9,26,18,-,-,504
SITAS,2,reb_def,46,10,13,43,-,-,505
SITAS,2,Pase,46,11,10,37,28,61,506
SITAS,9,Pase,46,13,28,63,47,16,507
GEVP,5,Foul,46,16,82,41,-,-,508
SITAS,11,Pase,46,18,81,40,90,35,509
SITAS,10,Pase,46,18,91,33,89,61,510
SITAS,11,Gol,46,18,86,56,-,-,511
GEVP,5,Pase,46,22,87,46,73,48,512
GEVP,6,Pase,46,24,74,48,81,87,513
GEVP,5,Pase,46,26,83,93,63,49,514
GEVP,6,Pase,46,28,62,48,27,8,515
GEVP,2,Pase,46,31,28,8,36,72,516
GEVP,5,Pase,46,33,38,67,16,89,517
SITAS,2,Perdida,46,39,39,86,-,-,518
SITAS,10,Pase,46,46,65,76,54,47,519
SITAS,7,Pase,46,48,54,47,81,51,520
SITAS,7,Gol,46,50,78,45,-,-,521
GEVP,6,Pase,46,52,85,46,69,78,522
GEVP,2,Pase,46,53,70,74,33,93,523
GEVP,5,Pase,46,55,35,96,11,60,524
GEVP,8,Pase,46,59,17,84,17,57,525
GEVP,5,Pase,47,1,15,59,38,89,526
GEVP,2,Pase,47,3,39,92,19,48,527
GEVP,11,Gol,47,5,25,49,-,-,528
SITAS,9,Pase,47,7,12,49,22,19,529
SITAS,2,Pase,47,10,23,19,53,27,530
SITAS,11,Pase,47,13,53,27,55,69,531
SITAS,7,Pase,47,14,55,69,57,22,532
SITAS,10,Pase,47,16,57,24,78,44,533
